Code   Language      Pangram
ar     Arabic        صِف خَلقَ خَودِ كَمِثلِ الشَمسِ إِذ بَزَغَت — يَحظى الضَجيعُ بِها نَجلاءَ مِعطا
bs     Bosnian       Sva ljudska bića rađaju se slobodna i jednaka u dostojanstvu i pravima
cs     Czech         Příliš žluťoučký kůň úpěl ďábelské ódy
da     Danish        Høj bly gom vandt fræk sexquiz på wc
de     German        Victor jagt zwölf Boxkämpfer quer über den großen Sylter Deich
el     Greek         Ταχίστη αλώπηξ βαφής ψημένη γη, δρασκελίζει υπέρ νωθρού κυνός Takhístè alôpèx vaphês psèménè gè, draskelízei ypér nòthroý kynós
es     Spanish       Benjamín pidió una bebida de kiwi y fresa; Noé, sin vergüenza, la más exquisita champaña del menú
et     Estonian      Põdur Zagrebi tšellomängija-följetonist Ciqo külmetas kehvas garaažis
fi     Finnish       Fahrenheit ja Celsius yrjösivät Åsan backgammon-peliin, Volkswagenissa, daiquirin ja ZX81:n yhteisvaikutuksesta
fr     French        Buvez de ce whisky que le patron juge fameux
he     Hebrew        שפן אכל קצת גזר בטעם חסה, ודי לְדַפדֵף הפתרונות שלי עֶזרָה הֲגָנָה
hi     Hindi         लाभो सुचना उद्योग परिवहन विनिमय बाटते काम अधिकार निर्माता विभाजनक्षमता सादगि हुआआदी विश्वास वहहर
id     Indonesian    Muharjo seorang xenofobia universal yang takut pada warga jazirah, contohnya Qatar
it     Italian       Ma la volpe, col suo balzo, ha raggiunto il quieto Fido
ja     Japanese      いろはにほへと　ちりぬるを　わかよたれそ　つねならむ　うゐのおくやま　けふこえて　あさきゆめみし　ゑひもせす。
ko     Korean        키스의 고유조건은 입술끼리 만나야 하고 특별한 기술은 필요치 않다
lt     Lithuanian    Įlinkdama fechtuotojo špaga sublykčiojusi pragręžė apvalų arbūzą
lv     Latvian       Muļķa hipiji mēģina brīvi nogaršot celofāna žņaudzējčūsku
nb     Norwegian     Vår sære Zulu fra badeøya spilte jo whist og quickstep i min taxi
nl     Dutch         Exact vijf voor twaalf had de psycholoog zijn quotum bereikt
pl     Polish        Jeżu klątw, spłódź Finom część gry hańb!
pt     Portuguese    Luís argüia à Júlia que «brações, fé, chá, óxido, pôr, zângão» eram palavras do português
ro     Romanian      Vând muzică de jazz și haine de bun-gust în New-York și Quebec la preț fix
ru     Russian       В чащах юга жил бы цитрус? Да, но фальшивый экземпляръ!
sk     Slovak        Kŕdeľ šťastných ďatľov učí pri ústí Váhu mĺkveho koňa obhrýzať kôru a žrať čerstvé mäso
sv     Swedish       Yxskaftbud, ge vår WC-zonmö IQ-hjälp
th     Thai          เป็นมนุษย์สุดประเสริฐเลิศคุณค่า กว่าบรรดาฝูงสัตว์เดรัจฉาน จงฝ่าฟันพัฒนาวิชาการ อย่าล้างผลาญฤๅเข่นฆ่าบีฑาใคร
tr     Turkish       Pijamalı hasta yağız şoföre çabucak güvendi
vi     Vietnamese    Do bạch kim rất quý, sẽ để lắp vô xương
zh     Chinese       視野無限廣，窗外有藍天 (traditional) 中国智造，慧及全球 (simplified)
